15.55,28.65,0
14.9,27.55,1
14.45,28.35,1
14.15,28.8,1
13.75,28.05,1
13.35,28.45,1
13.0,29.15,1
13.45,27.5,1
13.6,26.5,1
12.8,27.35,1
12.4,27.85,1
12.3,28.4,1
12.2,28.65,1
13.4,25.1,1
12.95,25.95,1
12.9,26.5,1
11.85,27.0,1
11.35,28.0,1
11.15,28.7,1
11.25,27.4,1
10.75,27.7,1
10.5,28.35,1
9.65,28.45,1
10.25,27.25,1
10.75,26.55,1
11.7,26.35,1
11.6,25.9,1
11.9,25.05,1
12.6,24.05,1
11.9,24.5,1
11.1,25.2,1
10.55,25.15,1
10.05,25.95,1
9.35,26.6,1
9.3,27.25,1
9.2,27.8,1
7.5,28.25,1
8.55,27.45,1
8.5,27.05,1
8.05,27.2,1
7.85,26.8,1
7.3,27.4,1
6.8,26.85,1
7.0,26.5,1
7.55,26.3,1
8.55,26.3,1
9.0,25.85,1
8.6,25.65,1
9.4,25.55,1
8.45,25.05,1
8.85,24.6,1
9.65,24.7,1
10.55,24.35,1
11.05,23.9,1
10.55,23.55,1
9.45,23.35,1
9.2,23.9,1
8.35,23.9,1
7.35,24.75,1
7.4,25.45,1
6.6,25.75,1
6.1,26.0,1
5.8,26.95,1
5.65,25.8,1
5.3,26.1,1
6.4,25.4,1
5.4,25.25,1
5.35,24.7,1
4.8,25.05,1
4.2,25.55,1
6.4,24.8,1
6.55,24.3,1
7.4,24.25,1
5.45,24.2,1
4.3,24.0,1
4.0,24.25,1
3.35,23.3,1
4.85,23.05,1
4.3,22.75,1
5.85,23.4,1
5.9,23.55,1
7.55,23.7,1
6.85,23.25,1
7.65,23.1,1
6.95,22.55,1
6.1,22.6,1
5.5,22.6,1
4.7,22.1,1
3.8,21.85,1
4.65,21.2,1
4.15,20.35,1
5.3,20.4,1
5.6,20.75,1
5.8,21.95,1
6.4,21.95,1
6.55,21.15,1
7.45,21.95,1
7.4,21.55,1
7.75,21.2,1
7.65,20.65,1
6.95,19.8,1
6.6,20.1,1
6.05,20.2,1
5.4,19.65,1
5.35,19.05,1
5.8,18.25,1
6.3,19.1,1
